"department","class number","dept and classnumber combined","course name","description","prerequisites classes"
"COGS","087","COGS-087","First-year Seminar","The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year Seminars can be offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.","none"
"COGS","088","COGS-088","Learning Sustainable Well-Being: Compassion for Self and Others, a Cognitive Scientist’s Perspective","This experiential course teaches the art of practicing psychological well-being based on principles from Eastern and Western philosophies (e.g., mindfulness, positive psychology, cognitive therapy, and neuroscience) within cognitive science. Each week, there is a short lecture on a given topic combined with workshop-style exercises.","none"
"COGS","090","COGS-090","Undergraduate Seminar","Special topics in cognitive science are discussed. P/NP grades only. (May be repeated when topics vary.)","none"
"COGS","091","COGS-091","SCANS Presents","The department faculty and the Students for Cognitive and Neurosciences (SCANS) offer this seminar exploring issues in cognitive science. It includes informal faculty research presentations, investigations of topics not covered in the curriculum, and discussions on graduate school and careers. (May be repeated when topics vary.)","none"
"COGS","092","COGS-092","Resiliency in the Face of Adversity","Psychological resiliency will be addressed both scientifically and pragmatically. Students will explore the way cognitive and behavioral factors contribute to one’s ability to cope with the stresses of life and emerge from them stronger than before. P/NP only.","none"
"COGS","099","COGS-099","Independent Study","Independent literature or laboratory research by arrangement with and under direction of a Department of Cognitive Science faculty member.","none"
"COGS","100","COGS-100","Cyborgs Now and in the Future","Covers the theories of situated, distributed, enactive, and embodied cognition. Explains how cyborgs are a natural consequence of our current understanding of embodied minds embedded in culturally shaped niches; how mental systems can be distributed over other people and things.","COGS 1 or COGS 10"
"COGS","101A","COGS-101A","Sensation and Perception","An introduction to the experimental study of cognition with a focus on sensation and perception.","COGS 1"
"COGS","101B","COGS-101B","Learning, Memory, and Attention","A survey of the experimental study of learning, memory, and attention. Topics include conditioning, automaticity, divided attention, memory systems, and the nature of mental representation.","COGS 1"
"COGS","101C","COGS-101C","Language","An introduction to structure of natural language, and to the cognitive processes that underline its acquisition, comprehension, and production. This course covers findings from linguistics, computer science, psychology, and cognitive neuroscience to provide an integrated perspective on human language abilities.","COGS 1, COGS 14A"
"COGS","102A","COGS-102A","Cognitive Perspectives","Explores current theoretical frameworks of high-level human cognition that emphasize how we interact with the material, social, and cultural world. Themes include the philosophy and history of cognitive science, the role of artifacts, and how cognition extends beyond the individual.","COGS 1, COGS 10"
"COGS","102B","COGS-102B","Cognitive Ethnography","Examines memory, reasoning, language, culture, planning, and interaction directly in everyday, real-world settings. Focuses on ethnographic methods, their history, and their application. The course work includes projects in which students make observations of real-world activity and analyze their cognitive significance.","COGS 102A"
"COGS","102C","COGS-102C","Cognitive Design Studio","This project-based course focuses on learning and applying the process of human-centered cognitive design. Students work in teams to design and evaluate a prototype application or redesign an existing system. Emphasizes contextual inquiry, user research, ideation, iterative design, and evaluation.","COGS 102B"
"COGS","107A","COGS-107A","Neuroanatomy and Physiology","This first course in the sequence focuses on principles of brain organization, from neurons to circuits to functional networks. It explores developmental plasticity, neuronal connectivity, cellular communication, complex signaling, and how these various dimensions form functional brain systems.","BILD 12 or COGS 17"
"COGS","107B","COGS-107B","Systems Neuroscience","This course focuses on the electrical dynamics of neurons and how their patterns relate to perception, thought, and action. Neural activity patterns underlying vision, touch, audition, proprioception, and head orientation are examined in detail. Also examined are motor control, sleep/wake state production, action planning, learning, memory, attention, spatial cognition and function of the cerebellum, basal ganglia, and hippocampus.","COGS 107A"
"COGS","107C","COGS-107C","Cognitive Neuroscience","This course reviews research investigating the neural bases for human mental processes, including processing of affective, social, linguistic, and visuospatial information, as well as memory, attention, and executive functions. Also discussed are brain development and brain aging, and the nature of intelligence and creativity.","COGS 107B"
"COGS","108","COGS-108","Data Science in Practice","Data science is multidisciplinary, covering computer science, statistics, cognitive science and psychology, data visualization, artificial intelligence and machine learning, among others. This course teaches critical skills needed to pursue a data science career using hands-on programming and experimental challenges.","CSE 11 or CSE 8A or COGS 18 or DSC 10 or MAE 8"
